5prime_site	Count
1265	36
1105	603
640	18
1040	392
1287	145
1300	2987
1293	1407
1433	105
1126	506
1479	19
1058	120
982	7
688	11
525	7
1309	41
1100	189
918	50
966	211
1321	235
1081	87
1120	125
1316	85
1304	527
777	4
1146	43
1602	75
1140	53
997	4
1165	91
1249	36
1301	18
1015	35
783	11
1119	6
976	209
354	22
972	3
973	15
1337	171
1159	57
1297	160
1426	69
1572	7
1185	5
820	34
1118	3
1044	56
597	8
619	9
1409	41
1053	1
1550	186
1506	23
872	80
1050	9
705	9
840	53
1399	22
1223	1
546	8
576	10
494	3
1312	199
267	15
446	1
983	1
282	6
1108	36
1113	6
1308	4
987	9
1296	13
456	19
438	32
1405	2
1037	33
281	1
636	21
680	1
1092	16
1002	31
823	44
810	2
186	10
473	1
609	4
849	1
1298	27
301	12
1211	23
288	16
910	6
120	1
1562	3
1457	59
1398	1
234	1
1173	13
942	2
1087	6
227	18
1231	1
1291	9
898	16
977	25
195	8
439	4
1171	8
1344	4
1347	30
786	2
1242	9
243	9
381	1
724	10
970	4
949	6
510	1
953	7
309	4
1270	19
1184	1
928	5
1514	14
370	3
141	12
1235	12
1110	27
1386	24
751	3
1255	12
1124	17
1117	7
349	1
802	2
947	15
1109	5
960	20
1072	11
252	17
1310	5
974	7
967	3
1502	1
245	12
531	1
1352	10
520	5
1237	9
1253	8
217	1
653	1
146	1
1111	8
955	1
326	1
431	5
592	2
978	5
1133	6
714	6
377	1
979	18
1000	1
550	11
1404	1
788	2
177	5
372	2
371	1
952	2
778	2
1256	2
496	1
1302	3
921	2
1135	9
321	1
682	5
1388	1
443	4
1314	1
958	1
648	6
1178	7
386	2
307	2
283	1
1115	7
932	2
357	1
391	2
1311	2
571	1
1306	2
1356	1
1095	1
940	6
1464	1
319	1
1232	2
814	10
157	1
441	1
519	1
424	1
291	1
995	1
312	1
209	1
1535	1
1195	2
931	1
1393	6
163	6
1588	5
1112	3
289	2
210	1
565	1
1182	5
318	2
1245	4
795	5
169	3
1360	1
1149	1
405	1
1497	2
1027	1
730	8
317	1
567	2
327	1
1526	2
858	13
782	1
830	2
1519	2
1529	2
590	1
322	2
570	2
296	2
190	1
1581	2
1474	3
1276	1
1584	1
1329	1
285	1
865	1
437	1
611	1
515	1
1305	11
407	1
280	2
951	5
511	2
340	1
395	2
1354	1
558	1
1021	1
553	1
1177	2
945	1
379	1
743	2
367	1
985	2
1319	1
380	2
382	2
1361	1
432	1
1069	1
1326	10
214	1
487	1
218	1
362	1
1260	2
204	2
102	2
1586	1
503	2
466	1
965	3
771	3
115	1
518	1
975	3
1190	2
964	1
603	1
961	1
333	4
732	9
610	1
107	1
287	3
969	3
673	1
1121	1
1327	2
507	3
907	4
199	6
784	2
1500	3
1241	2
1394	1
879	1
429	2
458	1
1010	3
499	2
134	1
799	2
1203	1
434	1
1116	4
1377	1
1132	1
1395	2
211	2
660	1
1067	1
1228	2
1546	1
1373	2
971	1
759	6
804	4
82	2
451	1
607	3
478	1
161	1
1509	1
1376	1
746	3
1307	3
994	1
1267	1
257	1
502	1
1539	1
123	1
772	1
1299	2
1406	1
215	1
1527	1
1367	2
1004	1
1370	1
595	1
950	1
402	1
1114	1
1574	1
201	1
488	1
1029	1
156	1
854	1
339	1
212	2
847	1
500	1
563	1
294	1
1322	1
1471	1
1421	3
652	1
1448	1
498	1
989	1
793	2
658	1
588	1
127	1
956	1
968	2
1283	1
679	1
929	1
128	1
1257	2
1229	1
376	1
68	1
1470	1
206	2
1442	1
887	1
308	1
415	1
293	1
579	1
1495	1
661	1
697	2
368	1
378	1
1303	2
352	1
853	1
1365	1
602	1
1466	1
1129	2
857	1
324	2
404	1
1278	1
160	1
172	1
440	1
991	1
575	1
1313	1
902	1
1292	1
1499	1
1224	1
1481	1
1589	1
984	2
1233	1
1335	1
792	1
1577	1
334	1
698	1
1320	1
1012	1
331	1
1199	1
506	1
369	1
299	1
363	1
286	1
513	1
1563	1
330	1
323	1
1176	1
1528	1
504	1
591	1
335	1
297	1
522	1
585	1
508	1
812	1
981	1
1131	1
1180	1
