3prime_site	Count
76	9306
69	5145
63	9658
64	59837
2653	1
61	2092
66	29388
67	4163
70	389
16482	1
62	20318
81	331
27564	2
28489	15
25004	1
28361	86
28655	4
74	972
28783	3
27190	23
65	11585
68	6764
75	12183
72	3598
77	2183
937	4
29390	5
1917	6
26615	2
3718	1
80	665
1672	28
3660	1
3651	3
28406	22
6953	18
1114	18
2677	4
71	714
831	6
28122	1
58	352
26784	61
26533	3
28515	2
28116	3
83	1052
29701	5
3081	4
29710	82
73	1271
1216	13
79	371
60	338
87	41
28363	5
28411	7
86	54
3085	8
1293	25
54	38
27693	12
28267	2
27639	1
25438	1
27384	6
3105	2
7206	2
28418	4
85	94
26198	1
22955	1
57	352
29341	4
1088	5
2154	7
2226	1
26099	1
1430	13
1269	6
2392	7
6649	1
27970	1
29231	4
735	19
27324	2
27721	2
1760	1
26261	2
666	3
28659	3
27258	2
28382	7
29263	6
27552	21
1869	2
28505	35
78	421
28431	15
28222	1
27337	1
29143	3
1988	121
29410	2
28850	3
23679	1
28415	13
1853	153
27680	18
1483	6
6610	1
141	1
733	12
1516	11
28445	10
29053	5
834	5
27827	4
24671	1
6955	3
5096	7
6965	7
7540	1
949	9
1089	4
2537	4
28504	10
23786	1
2726	1
28460	7
27554	45
28490	6
29557	2
6932	6
2080	1
3770	3
2127	17
6978	7
3829	2
1736	6
28386	3
1067	2
26779	57
1578	9
1607	2
2034	10
1852	38
6761	2
28701	1
1385	2
6807	13
826	10
5062	2
29047	2
28434	1
29430	3
1632	4
28518	4
2812	5
3357	2
1271	12
59	389
936	4
1013	15
28825	1
27682	121
29005	4
28705	5
29409	4
1087	7
27299	3
22068	1
25753	1
29173	5
28917	4
3298	4
23714	1
28424	6
1061	4
1215	5
1608	1
3267	4
26252	30
2948	3
1314	10
6653	13
8842	1
89	33
1770	6
7490	1
1036	8
26775	17
26772	12
5261	3
6685	4
26320	1
1946	14
1063	4
4366	2
6606	3
1458	5
8712	1
1924	3
6943	5
